"a5","a2","a4","a6","a1","a3","a7"
"","","","FGFR3","","",""
"","","","APOA1","","",""
"","","","CCDC160","","",""
"","","","CD24","","",""
"","","","S100A1","","",""
"","","","SP8","","",""
"","","","C9orf85","","",""
"","","","PLA2G2D","","",""
"","","","HILPDA","","",""
"","","","CBR1","","",""
"","","","ACKR2","","",""
"","","","BEND3","","",""
"","","","TMEM123","","",""
"","","","KCNMB4","","",""
"","","","FBP1","","",""
"","","","PRELID1","","",""
"","","","LMOD1","","",""
"","","","FEZF1","","",""
"","","","GLIPR2","","",""
"","","","NIPAL2","","",""
"","","","MRPL57","","",""
"","","","NR4A1","","",""
"","","","SNX18","","",""
"","","","CMKLR1","","",""
"","","","HES1","","",""
"","","","ADO","","",""
"","","","CELSR1","","",""
"","","","KBTBD6","","",""
"","","","MARCKSL1","","",""
"","","","UBE2E2","","",""
"","","","YAP1","","",""
"","","","C14orf93","","",""
"","","","ARL5B","","",""
"","","","PRRT1B","","",""
"","","","KLHL6","","",""
"","","","PRRX1","","",""
"","","","HRAS","","",""
"","","","RNASE4","","",""
"","","","PCP4L1","","",""
"","","","ZNF462","","",""
"","","","ZNF570","","",""
"","","","SERPINB9","","",""
"","","","FOSB","","",""
"","","","SFT2D2","","",""
"","","","SLC2A9","","",""
"","","","DACT2","","",""
"","","","MFAP5","","",""
"","","","ADCY8","","",""
"","","","SEMA4B","","",""
"","","","LYNX1","","",""
"","","","MGST2","","",""
"","","","CTTN","","",""
"","","","PSMB10","","",""
"","","","PTAFR","","",""
"","","","TP53I11","","",""
"","","","CADM1","","",""
"","","","CBR2","","",""
"","","","REM2","","",""
"","","","JSRP1","","",""
"","","","PAPSS1","","",""
"","","","UGT8","","",""
"","","","CYC1","","",""
"","","","NKX3-1","","",""
"","","","YES1","","",""
"","","","CAPSL","","",""
"","","","SHISA4","","",""
"","","","MYOCD","","",""
"","","","DNASE1L3","","",""
"","","","SLC35D1","","",""
"","","","ZZEF1","","",""
"","","","ST8SIA5","","",""
"","","","THEM6","","",""
"","","","DGCR6L","","",""
"","","","IRX2","","",""
"","","","NDUFS3","","",""
"","","","MRPL37","","",""
"","","","OSGIN1","","",""
"","","","IRX5","","",""
"","","","ATP5MK","","",""
"","","","SMURF2","","",""
"","","","MCM7","","",""
"","","","DBI","","",""
"","","","FAM110C","","",""
"","","","SLC37A3","","",""
"","","","LIMA1","","",""
"","","","CCND3","","",""
"","","","SLC20A1","","",""
"","","","POGLUT1","","",""
"","","","TCIM","","",""
"","","","PANX1","","",""
"","","","GPR87","","",""
"","","","HSD3B7","","",""
"","","","ZFP90","","",""
"","","","RALGAPA1","","",""
"","","","RGS1","","",""
"","","","NGF","","",""
"","","","PLXDC2","","",""
"","","","C1orf116","","",""
"","","","MLLT6","","",""
"","","","IDH3A","","",""
"","","","LRRC26","","",""
"","","","DMXL2","","",""
"","","","FOSL2","","",""
"","","","GNA12","","",""
"","","","PDCD1LG2","","",""
"","","","ZHX3","","",""
"","","","MGST1","","",""
"","","","RASSF2","","",""
"","","","ALPL","","",""
"","","","MILR1","","",""
"","","","SNAI1","","",""
"","","","CMTM4","","",""
"","","","HLX","","",""
"","","","SLFN11","","",""
"","","","TCEA3","","",""
"","","","BOK","","",""
"","","","RUNX3","","",""
"","","","CYP4V2","","",""
"","","","MAPK12","","",""
"","","","TPPP","","",""
"","","","CXADR","","",""
"","","","ARL4A","","",""
"","","","E2F2","","",""
"","","","NDST1","","",""
"","","","VOPP1","","",""
"","","","INAVA","","",""
"","","","PYCR3","","",""
"","","","EBP","","",""
"","","","CXCL9","","",""
"","","","SRSF12","","",""
"","","","BRI3BP","","",""
"","","","AHRR","","",""
"","","","MLPH","","",""
"","","","FAM167A","","",""
"","","","S100A12","","",""
"","","","NUAK1","","",""
"","","","DUSP8","","",""
"","","","CDH6","","",""
"","","","APH1B","","",""
"","","","SLC25A34","","",""
"","","","CACNB3","","",""
"","","","BEND7","","",""
"","","","FZD8","","",""
"","","","WFDC2","","",""
"","","","B3GNT7","","",""
"","","","TM4SF1","","",""
"","","","SHANK2","","",""
"","","","POLE","","",""
"","","","IFNAR1","","",""
"","","","YBEY","","",""
"","","","PALM2AKAP2","","",""
"","","","TMEM97","","",""
"","","","MRPL12","","",""
"","","","TMEM30A","","",""
"","","","SASH1","","",""
"","","","CDC26","","",""
"","","","PSMD10","","",""
"","","","PPP2R3A","","",""
"","","","AQP1","","",""
"","","","TREM1","","",""
"","","","TCF21","","",""
"","","","TNNI2","","",""
"","","","PDGFB","","",""
"","","","SLC47A1","","",""
"","","","ARHGDIB","","",""
"","","","CEP20","","",""
"","","","AVPR1A","","",""
"","","","VWA3B","","",""
"","","","ZBED5","","",""
"","","","B4GALNT3","","",""
"","","","ZNF227","","",""
"","","","HCN2","","",""
"","","","MUC5B","","",""
"","","","SAMD11","","",""
"","","","LLGL2","","",""
"","","","CRYBG2","","",""
"","","","NTF3","","",""
"","","","UBXN11","","",""
"","","","GJB7","","",""
"","","","H2AC6","","",""
"","","","LOXL2","","",""
"","","","SLC25A10","","",""
"","","","C3orf52","","",""
"","","","COL8A2","","",""
"","","","TUBB2B","","",""
"","","","GREM1","","",""
"","","","H1-4","","",""
"","","","SPAI-2","","",""
"","","","NOXA1","","",""
"","","","RAB26","","",""
"","","","TIMM23","","",""
"","","","SBSN","","",""
"","","","GPX1","","",""
"","","","FOXG1","","",""
"","","","PRODH","","",""
"","","","OXLD1","","",""
"","","","DUSP18","","",""
"","","","SHKBP1","","",""
"","","","ETFRF1","","",""
"","","","LGALS1","","",""
"","","","RAB38","","",""
"","","","EVA1B","","",""
"","","","ATG12","","",""
"","","","C1RL","","",""
"","","","RGS18","","",""
"","","","SLC43A3","","",""
"","","","XIRP1","","",""
"","","","RASD1","","",""
"","","","TRIM16","","",""
"","","","ST3GAL3","","",""
"","","","SV2C","","",""
"","","","ATP5F1C","","",""
"","","","TNFSF15","","",""
"","","","DGAT2","","",""
"","","","RNF223","","",""
"","","","CDKN2B","","",""
"","","","CIAO2A","","",""
"","","","EYA4","","",""
"","","","WNK2","","",""
"","","","AIF1L","","",""
"","","","GNAO1","","",""
"","","","CEBPB","","",""
"","","","ZNF189","","",""
"","","","HNF4G","","",""
"","","","PMEPA1","","",""
"","","","SLC31A1","","",""
"","","","ABCA12","","",""
"","","","ARL4C","","",""
"","","","MRPS25","","",""
"","","","SP7","","",""
"","","","CBARP","","",""
"","","","NBEA","","",""
"","","","KCNJ16","","",""
"","","","SPECC1","","",""
"","","","KLK8","","",""
"","","","MMP28","","",""
"","","","MRGPRF","","",""
"","","","RSRP1","","",""
"","","","RITA1","","",""
"","","","ST3GAL6","","",""
"","","","MSX2","","",""
"","","","RIOX2","","",""
"","","","MS4A2","","",""
"","","","ZNF12","","",""
"","","","MEAF6","","",""
"","","","TNFAIP8L1","","",""
"","","","PAX7","","",""
"","","","PDXP","","",""
"","","","MGAM","","",""
"","","","DLX4","","",""
"","","","SH3BP4","","",""
"","","","ZNF532","","",""
"","","","PYCR1","","",""
"","","","TRMT61A","","",""
"","","","PLEKHS1","","",""
"","","","PLB1","","",""
"","","","LAMA1","","",""
"","","","CYTH3","","",""
"","","","TAFA5","","",""
"","","","VPS25","","",""
"","","","PEF1","","",""
"","","","ARMCX4","","",""
"","","","RGS19","","",""
"","","","RAP1GAP2","","",""
"","","","CHEK2","","",""
"","","","ODAPH","","",""
"","","","KRBA1","","",""
"","","","IRX1","","",""
"","","","MVD","","",""
"","","","GINS1","","",""
"","","","RASSF9","","",""
"","","","IRF8","","",""
"","","","NREP","","",""
"","","","DEPDC1B","","",""
"","","","CGNL1","","",""
"","","","C1QBP","","",""
"","","","ADORA2B","","",""
"","","","KREMEN2","","",""
"","","","RUNDC1","","",""
"","","","PID1","","",""
"","","","MCM10","","",""
"","","","MYOC","","",""
"","","","KIF26A","","",""
"","","","TRIM38","","",""
"","","","TMEM237","","",""
"","","","SEMA6B","","",""
"","","","HNMT","","",""
"","","","RAB27B","","",""
"","","","ZNF292","","",""
"","","","BMF","","",""
"","","","SFRP4","","",""
"","","","TMEM225B","","",""
"","","","ZNF436","","",""
"","","","F2R","","",""
"","","","IGFBP2","","",""
"","","","HES4","","",""
"","","","SLC36A1","","",""
"","","","SEZ6","","",""
"","","","WWC1","","",""
"","","","KITLG","","",""
"","","","C1QTNF1","","",""
"","","","TMEM265","","",""
"","","","ATP5F1D","","",""
"","","","RUNX1","","",""
"","","","MCM6","","",""
"","","","CCDC134","","",""
"","","","SUGCT","","",""
"","","","GIPC2","","",""
"","","","PRSS22","","",""
"","","","PLSCR1","","",""
"","","","MANEA","","",""
"","","","USP22","","",""
"","","","EPOP","","",""
"","","","CS","","",""
"","","","MCEE","","",""
"","","","PLXNB2","","",""
"","","","SSBP2","","",""
"","","","RFLNA","","",""
"","","","ERRFI1","","",""
"","","","BTG1","","",""
"","","","SIX5","","",""
"","","","PTPRF","","",""
"","","","WNT5A","","",""
"","","","ZNF599","","",""
"","","","GPR160","","",""
"","","","JDP2","","",""
"","","","SLC13A3","","",""
"","","","P2RY8","","",""
"","","","PSMB2","","",""
"","","","CLDN3","","",""
"","","","TXNDC16","","",""
"","","","DPT","","",""
"","","","SPSB1","","",""
"","","","DSEL","","",""
"","","","FDX1","","",""
"","","","EVA1A","","",""
"","","","TPPP3","","",""
"","","","ITPA","","",""
"","","","TACR1","","",""
"","","","DNAH17","","",""
"","","","PDP2","","",""
"","","","WASHC3","","",""
"","","","TBC1D20","","",""
"","","","PCGF5","","",""
"","","","CKM","","",""
"","","","PRKAA2","","",""
"","","","TSPAN15","","",""
"","","","BARX2","","",""
"","","","UMAD1","","",""
"","","","DIPK2A","","",""
"","","","ELOVL6","","",""
"","","","ITGA7","","",""
"","","","GP91-PHOX","","",""
"","","","ATP6V1G3","","",""
"","","","NSMCE1","","",""
"","","","OAF","","",""
"","","","VASP","","",""
"","","","SPRY4","","",""
"","","","ZBTB5","","",""
"","","","ZSCAN2","","",""
"","","","LURAP1L","","",""
"","","","PDE4C","","",""
"","","","OVOL2","","",""
"","","","MYL9","","",""
"","","","FAM180A","","",""
"","","","CCDC50","","",""
"","","","VPS13C","","",""
"","","","GJB6","","",""
"","","","FGFRL1","","",""
"","","","EFNA5","","",""
"","","","TNFSF13","","",""
"","","","PRDM8","","",""
"","","","PAWR","","",""
"","","","LY6G6C","","",""
"","","","PTP4A3","","",""
"","","","SPDEF","","",""
"","","","MAP4K5","","",""
"","","","RBSN","","",""
"","","","SORBS2","","",""
"","","","TTPAL","","",""
"","","","EMP1","","",""
"","","","CRYAB","","",""
"","","","VCPKMT","","",""
"","","","PITX1","","",""
"","","","KLF15","","",""
"","","","ALX1","","",""
"","","","PPM1H","","",""
"","","","TENT5B","","",""
"","","","ZNF496","","",""
"","","","HSPA12A","","",""
"","","","APOLD1","","",""
"","","","C6orf132","","",""
"","","","CLEC11A","","",""
"","","","CSF2RA","","",""
"","","","SDS","","",""
"","","","EXOC3L4","","",""
"","","","FABP3","","",""
"","","","ZNF792","","",""
"","","","PTHLH","","",""
"","","","ERI3","","",""
"","","","PSMA4","","",""
"","","","SOCS3","","",""
"","","","FAM83H","","",""
"","","","RAC3","","",""
"","","","SIGMAR1","","",""
"","","","PPM1N","","",""
"","","","ID1","","",""
"","","","CAMK4","","",""
"","","","EMP2","","",""
"","","","TMEM88","","",""
"","","","LRRC8B","","",""
"","","","FSTL3","","",""
"","","","PCP4","","",""
"","","","TK1","","",""
"","","","CDKN2AIPNL","","",""
"","","","MTURN","","",""
"","","","TMEM92","","",""
"","","","GPR4","","",""
"","","","MPV17","","",""
"","","","ZNF3","","",""
"","","","SNX29","","",""
"","","","RGS2","","",""
"","","","LANCL3","","",""
"","","","RFK","","",""
"","","","CCDC85C","","",""
"","","","ADSS1","","",""
"","","","MRPS11","","",""
"","","","CST3","","",""
"","","","TMPPE","","",""
"","","","KBTBD7","","",""
"","","","NFAM1","","",""
"","","","COL6A6","","",""
"","","","PLPPR3","","",""
"","","","CSF1","","",""
"","","","HTR2A","","",""
"","","","MRPS36","","",""
"","","","GNE","","",""
"","","","RFTN2","","",""
"","","","NEDD4","","",""
"","","","GSN","","",""
"","","","GINS4","","",""
"","","","LY6D","","",""
"","","","TACC2","","",""
"","","","MNDA","","",""
"","","","FUT7","","",""
"","","","ACOT11","","",""
"","","","OTX1","","",""
"","","","EPSTI1","","",""
"","","","PPBP","","",""
"","","","F2RL2","","",""
"","","","CDK2","","",""
"","","","SNX10","","",""
"","","","EEF1AKMT3","","",""
"","","","FOXA1","","",""
"","","","TIMMDC1","","",""
"","","","COTL1","","",""
"","","","PRKAR2B","","",""
"","","","ATP5PB","","",""
"","","","IGHM","","",""
"","","","MRPS28","","",""
"","","","MARCKS","","",""
"","","","RGS5","","",""
"","","","L3HYPDH","","",""
"","","","EDN2","","",""
"","","","NSMF","","",""
"","","","CXXC5","","",""
"","","","CCND1","","",""
"","","","ADIRF","","",""
"","","","NIPAL1","","",""
"","","","SOX8","","",""
"","","","SLC25A33","","",""
"","","","RAB12","","",""
"","","","CPSF6","","",""
"","","","FYB2","","",""
"","","","GYG2","","",""
"","","","TAC4","","",""
"","","","PPP1R14A","","",""
"","","","COL18A1","","",""
"","","","TIFAB","","",""
"","","","CANT1","","",""
"","","","KCNE4","","",""
"","","","TMED7","","",""
"","","","RAI1","","",""
"","","","EREG","","",""
"","","","HSD17B2","","",""
"","","","PRKRA","","",""
"","","","RANBP1","","",""
"","","","ZNF219","","",""
"","","","NME1","","",""
"","","","CIART","","",""
"","","","COX4I2","","",""
"","","","PAIP2B","","",""
"","","","SERPINB6","","",""
"","","","PERP","","",""
"","","","SYNPO","","",""
"","","","SURF2","","",""
"","","","NUAK2","","",""
"","","","MSI2","","",""
"","","","SPTBN2","","",""
"","","","DDAH2","","",""
"","","","CHAC1","","",""
"","","","KLK10","","",""
"","","","CENPA","","",""
"","","","RND1","","",""
"","","","PRSS8","","",""
"","","","INHBB","","",""
"","","","HS3ST3A1","","",""
"","","","ADAMTS18","","",""
"","","","ENAH","","",""
"","","","HAAO","","",""
"","","","GJB3","","",""
"","","","CCND2","","",""
"","","","FMC1","","",""
"","","","TMPRSS13","","",""
"","","","ZNF577","","",""
"","","","FLCN","","",""
"","","","FAM89A","","",""
"","","","MACIR","","",""
"","","","FAM221A","","",""
"","","","NPNT","","",""
"","","","FBXO17","","",""
"","","","DLX5","","",""
"","","","ST3GAL2","","",""
"","","","IL22RA1","","",""
"","","","GPR137B","","",""
"","","","INO80C","","",""
"","","","PPM1K","","",""
"","","","RELB","","",""
"","","","CLDN15","","",""
"","","","KCNK6","","",""
"","","","CEMIP","","",""
"","","","ETS2","","",""
"","","","VARS1","","",""
"","","","CAMLG","","",""
"","","","HEYL","","",""
"","","","KRT7","","",""
"","","","PTPRT","","",""
"","","","GLTP","","",""
"","","","ZNF467","","",""
"","","","SLC26A2","","",""
"","","","ALKAL2","","",""
"","","","RASSF3","","",""
"","","","TRIB2","","",""
"","","","MARCHF1","","",""
"","","","EPB41L5","","",""
"","","","RAB25","","",""
"","","","KANK2","","",""
"","","","PCGF2","","",""
"","","","ADGRA1","","",""
"","","","CYSLTR1","","",""
"","","","PHYHIPL","","",""
"","","","PHYH","","",""
"","","","TCN1","","",""
"","","","COX6A1","","",""
"","","","ST8SIA2","","",""
"","","","SIX3","","",""
"","","","CLEC12A","","",""
"","","","MRPL34","","",""
"","","","NCS1","","",""
"","","","SOX10","","",""
"","","","SLC25A21","","",""
"","","","HS3ST3B1","","",""
"","","","ANO8","","",""
"","","","RFX6","","",""
"","","","ITPRIPL2","","",""
"","","","SULT1E1","","",""
"","","","H1-0","","",""
"","","","SNPH","","",""
"","","","SLCO4A1","","",""
"","","","BMP2","","",""
"","","","SPON2","","",""
"","","","ID3","","",""
"","","","SHISAL1","","",""
"","","","DHTKD1","","",""
"","","","ANKRD11","","",""
"","","","PTGFR","","",""
"","","","ASPG","","",""
"","","","JOSD1","","",""
"","","","KCNQ1","","",""
"","","","SNAI2","","",""
"","","","SLPI","","",""
"","","","PALM","","",""
"","","","FOXJ2","","",""
"","","","SSBP3","","",""
"","","","ADAT2","","",""
"","","","ANKRD33B","","",""
"","","","SLC2A5","","",""
"","","","TIMM10","","",""
"","","","MRPL51","","",""
"","","","PGPEP1","","",""
"","","","RTKN2","","",""
"","","","FOXC1","","",""
"","","","PRR16","","",""
"","","","MYCL","","",""
"","","","CMBL","","",""
"","","","SPIRE1","","",""
"","","","PATJ","","",""
"","","","SLC11A1","","",""
"","","","RAP2A","","",""
"","","","SHC3","","",""
"","","","PTI","","",""
"","","","TRIB3","","",""
"","","","KLC3","","",""
"","","","CCL26","","",""
"","","","HSPB1","","",""
"","","","ZNF773","","",""
"","","","GJA4","","",""
"","","","CES1","","",""
"","","","RGS8","","",""
"","","","ZNF41","","",""
"","","","MTUS1","","",""
"","","","MTSS2","","",""
"","","","TMEM151B","","",""
"","","","APEX1","","",""
"","","","NINJ1","","",""
"","","","NUPR1","","",""
"","","","FLRT2","","",""
"","","","LMO7","","",""
"","","","AFG1L","","",""
"","","","CRLS1","","",""
"","","","GCSH","","",""
"","","","TLCD2","","",""
"","","","P2RY2","","",""
"","","","PAG1","","",""
"","","","USP33","","",""
"","","","ARMCX3","","",""
"","","","RGS13","","",""
"","","","ALX4","","",""
"","","","CBX6","","",""
"","","","TES","","",""
"","","","GOLGA7B","","",""
"","","","ZBTB46","","",""
"","","","COLEC12","","",""
"","","","C10orf143","","",""
"","","","RND3","","",""
"","","","ABHD12","","",""
"","","","CDKN1C","","",""
"","","","NDE1","","",""
"","","","DMRT3","","",""
"","","","AQP3","","",""
"","","","ISYNA1","","",""
"","","","CASKIN2","","",""
"","","","CISH","","",""
"","","","OBPL","","",""
"","","","SGTB","","",""
"","","","AKR1B1","","",""
"","","","LPL","","",""
"","","","KRT80","","",""
"","","","ERN2","","",""
"","","","DIO2","","",""
"","","","TYMS","","",""
"","","","MAPK3","","",""
"","","","GYPC","","",""
"","","","CACFD1","","",""
"","","","IL11","","",""
"","","","EYA1","","",""
"","","","NIPA1","","",""
"","","","MRPS21","","",""
"","","","CTSD","","",""
"","","","DUSP5","","",""
"","","","PYM1","","",""
"","","","AGBL2","","",""
"","","","AGPAT2","","",""
"","","","C5orf51","","",""
"","","","ZFPM1","","",""
"","","","CLDN1","","",""
"","","","SNX6","","",""
"","","","LIF","","",""
"","","","SNX8","","",""
"","","","GMFG","","",""
"","","","PPIL1","","",""
"","","","GPRC5C","","",""
"","","","CCDC194","","",""
"","","","CMC1","","",""
"","","","THBD","","",""
"","","","GNAT1","","",""
"","","","AGO4","","",""
"","","","RHOB","","",""
"","","","LGR6","","",""
"","","","FMN1","","",""
"","","","NLRX1","","",""
"","","","C2orf66","","",""
"","","","MUC21","","",""
"","","","TMEM213","","",""
"","","","WDFY4","","",""
"","","","TSC1","","",""
"","","","MOGAT1","","",""
"","","","OAS1","","",""
"","","","FDCSP","","",""
"","","","TRBV3-1","","",""
"","","","HSPA6","","",""
"","","","CCDC71L","","",""
"","","","CA9","","",""
"","","","TANGO6","","",""
