"a5","a2","a4","a6","a1","a3","a7"
"","","","ZNF516","","ECH1","PRR11"
"","","","SERPINB8","","MRPL55","ETV6"
"","","","SERPINB2","","KMT2E","STUM"
"","","","SERPINB5","","MTG1","TMEM178A"
"","","","RNF152","","BCAT1","NOCT"
"","","","MALT1","","NAV3","ZNF667"
"","","","NEDD4L","","PLSCR3","CCNYL1"
"","","","ATP8B1","","PCYOX1","GUCY1B2"
"","","","SMAD3","","CEPT1","SYT12"
"","","","SKOR1","","SAP30","NR5A2"
"","","","CLN6","","LMNTD2","ZNF507"
"","","","CORO2B","","EBNA1BP2","TSHZ3"
"","","","PAQR5","","NDUFB10","CCDC14"
"","","","UACA","","AHR","PTPN6"
"","","","THSD4","","CEP170","SMIM26"
"","","","DNAAF2","","TMEM143","SLC10A3"
"","","","SAV1","","PIP5K1A","ST6GAL1"
"","","","PYGL","","NFKB1","MON1A"
"","","","FRMD6","","MAPK7","FNDC5"
"","","","FERMT2","","ATP13A2","TMEM41A"
"","","","DDHD1","","SZRD1","SRPK2"
"","","","BMP4","","CD70","ALDH3B2"
"","","","LGALS3","","TSEN15","NRP2"
"","","","DLGAP5","","AMPD2","EPS8L1"
"","","","OTX2","","TFCP2","SETD6"
"","","","ARMH4","","MRPS14","CALML4"
"","","","DAAM1","","CLP1","BPI"
"","","","C14orf39","","RNASE1","ZNF180"
"","","","SIX1","","SEPHS1","FARP1"
"","","","SIX4","","CTDSP2","NFE2L3"
"","","","SYNE2","","MACROH2A2","TRAIP"
"","","","TEK","","KCNJ10","KLHL32"
"","","","DMRTA1","","ZNF783","TBX2"
"","","","IFNE","","ANKRD53","SLC40A1"
"","","","TTC39B","","DIMT1","SLC25A2"
"","","","NFIB","","GPR18","ZNF454"
"","","","MPDZ","","DUSP16","LDLRAD4"
"","","","RANBP6","","C19orf12","NUDT15"
"","","","ERMP1","","P2RY13","ARHGAP45"
"","","","RCL1","","METTL26","ARL13B"
"","","","SLC1A1","","C8orf89","TRIM63"
"","","","GLIS3","","PLAUR","ABCG1"
"","","","DMRT2","","TIMM21","SLC29A4"
"","","","DOCK8","","SLC39A14","ZFP28"
"","","","TJP2","","TMEM35B","GIMAP4"
"","","","FAM189A2","","PNPO","C1orf115"
"","","","ANXA1","","CYP2S1","PRRT2"
"","","","GCNT1","","BRD1","MRPL50"
"","","","GNA14","","BPNT2","VPS26B"
"","","","TLE4","","MSRB1","ZNF354B"
"","","","TLE1","","GOT2","RFC2"
"","","","TPM2","","CHMP7","LHFPL2"
"","","","NPR2","","CD163","SGPP1"
"","","","SHB","","PIP4K2B","CEL"
"","","","FOXE1","","PLEKHA2","PNKD"
"","","","TBC1D2","","CACNA1B","MAPKAP1"
"","","","TGFBR1","","ITFG1","STEAP3"
"","","","NR4A3","","TSPAN32","ZFP2"
"","","","MSANTD3-TMEFF1","","RRP7A","LIAS"
"","","","SMC2","","RD3L","HUNK"
"","","","ABCA1","","DPP7","CHST15"
"","","","SLC44A1","","TMEM69","F7"
"","","","FSD1L","","GPR68","WBP1L"
"","","","EPB41L4B","","SOX6","IFI35"
"","","","PTPN3","","CREB1","SELENOM"
"","","","TXN","","SPEN","S1PR1"
"","","","LPAR1","","MRPS15","LHFPL6"
"","","","HSDL2","","IRS2","SORCS1"
"","","","KIAA1958","","NT5C3B","TMEM184C"
"","","","SNX30","","EFCAB8","HNRNPUL1"
"","","","SLC46A2","","GADD45GIP1","ZNF398"
"","","","COL27A1","","NKAIN3","NDRG2"
"","","","TNC","","HPRT1","PRKCZ"
"","","","PAPPA","","AKAP1","MYBPH"
"","","","TLR4","","INHBA","SLC19A1"
"","","","TRAF1","","SPRED3","XBP1"
"","","","C5","","TSSC4","PTK6"
"","","","DAB2IP","","CROCC2","LSP1"
"","","","NDUFA8","","USP46","MTMR12"
