NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
397094,3552,ENSSSCG00000008090,ENSG00000115008,IL1A,IL1A,D,0.303728996,0.659906123,0.873812374,4022.762705,5955.078274,11487.24569,2756.614816,4808.173202,5861.500516,2250.5596,1429.517997,2567.664438,1020.825382,9423.026281,4253.91272,7383.4083,2759.965794
100515360,3609,ENSSSCG00000013638,ENSG00000129351,ILF3,ILF3,D,0.309157752,0.047452943,0.116325461,1679.013423,1932.292349,992.4203528,2872.655664,1197.574738,3399.480913,570.5161738,1700.195961,953.2852866,1745.978296,1498.59717,1931.861659,1874.088339,2424.622228
396589,3603,ENSSSCG00000001787,ENSG00000172349,IL16,IL16,D,0.324591146,0.390880072,0.623748676,150.6613128,162.7103103,40.58816198,308.1529191,107.2454989,182.6223332,26.71084127,344.3893739,106.0163565,89.56501765,123.1331433,173.8887552,204.9003251,148.9190177
100153829,4791,ENSSSCG00000010580,ENSG00000077150,NFKB2,NFKB2,E,-1.510495327,0.000197921,0.000984232,3893.506096,1501.821158,6501.268534,5009.096613,4358.494707,5366.391079,1817.706993,3155.090018,2672.818873,2267.181953,1800.225645,1576.662067,1122.453976,1507.942942
406188,4792,ENSSSCG00000001952,ENSG00000100906,NFKBIA,NFKBIA,E,-1.462406679,0.00718951,0.023294965,7128.923469,3074.606737,14746.23634,5933.55537,10342.6054,7475.340838,4390.851369,3695.237562,6335.12374,4112.437136,4160.754818,2218.141927,3765.168413,2154.361789
751869,4790,ENSSSCG00000030957,ENSG00000109320,NFKB1,NFKB1,E,-0.889611986,0.017285704,0.049525966,2196.281536,1314.3445,2985.219522,2295.030108,2791.205222,3127.57655,1089.665345,1639.776773,2167.732817,1474.045953,1418.417449,1467.451447,1140.445224,1231.063879
100153486,4794,ENSSSCG00000001703,ENSG00000146232,NFKBIE,NFKBIE,E,-0.81820093,0.002984046,0.010825805,2195.671749,1213.179148,2027.02056,3106.026703,2158.080479,2978.773168,885.5671222,3081.378608,1543.701581,1784.825773,1675.183461,894.8909111,1327.354301,955.2879207
100621111,4793,ENSSSCG00000026904,ENSG00000104825,NFKBIB,NFKBIB,E,-0.298006797,0.168396045,0.328079745,468.5184907,388.0582349,458.4074765,607.2804388,369.7147463,706.1396883,232.8637444,570.3571384,344.7686389,458.6160542,437.1703846,383.8276183,309.8492721,421.3856648
100520981,64332,ENSSSCG00000011951,ENSG00000144802,NFKBIZ,NFKBIZ,E,-0.275315504,0.468053665,0.706984156,3381.26111,2816.663219,3177.814329,3483.804131,4714.098203,5352.863499,1227.328912,2454.227433,3258.063638,3381.888739,4212.298924,2382.488006,3084.499528,1587.366418
396658,3454,ENSSSCG00000033115,ENSG00000142166,IFNAR1,IFNAR1,F,-1.483430686,1.11E-06,9.05E-06,3082.956846,1192.007034,3795.391069,4100.109969,2203.236478,4255.776742,2245.080454,3736.32261,1839.340689,2488.396755,1070.97199,1421.858663,1122.453976,1152.743507
