	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000386	160	123	246	207	160	158	42	102	117	44	220	126
ENSSSCG00000000393	463	322	443	419	777	297	197	374	94	65	348	579
ENSSSCG00000000394	115	92	99	101	105	44	11	22	11	15	18	17
ENSSSCG00000000396	129	20	76	94	88	37	34	147	13	15	63	36
ENSSSCG00000000398	0	0	6	0	0	0	0	0	0	0	6	0
ENSSSCG00000000399	75	64	173	96	98	75	52	172	64	30	199	78
ENSSSCG00000000400	6	0	37	0	0	3	0	0	0	9	0	0
ENSSSCG00000000401	7	13	0	0	0	0	8	12	14	0	0	0
ENSSSCG00000000402	104	79	161	82	90	121	29	67	19	34	123	46
ENSSSCG00000000403	792	453	732	1042	1172	479	311	829	314	205	979	1049
ENSSSCG00000000405	181	136	127	164	152	87	27	90	27	16	123	114
ENSSSCG00000000406	126	89	62	60	84	44	13	68	18	5	157	212
ENSSSCG00000000411	39	34	5	131	48	16	44	16	21	10	38	31
ENSSSCG00000000413	2	11	0	0	0	0	1	0	0	2	10	0
ENSSSCG00000000415	2	0	0	0	0	0	7	0	0	0	0	0
ENSSSCG00000000418	6	16	3	0	3	0	11	12	1	37	0	0
ENSSSCG00000000419	4	8	1	28	8	0	3	0	4	10	15	0
ENSSSCG00000000431	279	83	215	140	233	95	130	301	93	32	193	213
ENSSSCG00000000433	49	81	0	25	71	15	25	36	47	20	110	75
ENSSSCG00000000435	84	12	77	146	132	59	31	50	5	8	88	0
ENSSSCG00000000436	9	2	16	0	13	0	0	6	15	9	30	0
ENSSSCG00000000437	99	30	7	127	97	56	49	58	51	47	130	128
ENSSSCG00000000439	14	42	34	41	52	14	17	37	30	27	40	0
ENSSSCG00000000442	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000443	26	16	11	20	60	10	19	19	5	25	16	11
ENSSSCG00000000444	253	153	130	248	314	116	111	200	27	33	182	166
ENSSSCG00000000449	335	109	55	164	467	135	117	179	100	60	250	288
ENSSSCG00000000453	0	9	35	29	20	35	24	15	9	2	42	1
ENSSSCG00000000455	199	179	343	139	154	40	91	27	39	50	148	37
ENSSSCG00000000456	27	90	5	82	232	21	44	153	1	28	104	121
ENSSSCG00000000457	147	75	81	96	315	74	20	95	24	33	161	279
ENSSSCG00000000458	318	102	216	306	267	168	113	171	38	56	209	176
ENSSSCG00000000462	24	8	0	16	28	1	0	20	7	12	1	0
ENSSSCG00000000464	3	3	0	0	0	0	0	0	0	0	0	20
ENSSSCG00000000466	47	17	13	11	62	11	15	0	13	9	31	7
ENSSSCG00000000469	167	27	178	53	160	63	34	90	24	19	106	77
ENSSSCG00000000473	36	8	31	22	16	36	9	92	2	16	54	1
ENSSSCG00000000475	192	75	143	139	317	198	124	304	24	18	103	18
ENSSSCG00000000477	25	48	69	85	82	82	50	63	13	32	67	31
ENSSSCG00000000478	31	36	37	84	79	66	88	92	7	32	13	0
ENSSSCG00000000482	2	11	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000000483	33	48	16	6	13	10	15	6	14	8	41	28
ENSSSCG00000000486	122	17	100	46	101	0	26	36	3	23	52	120
ENSSSCG00000000487	6	7	32	0	12	9	16	6	0	6	17	7
ENSSSCG00000000488	414	159	242	242	369	71	66	275	44	59	185	135
ENSSSCG00000000492	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000493	108	27	59	62	90	4	29	163	10	20	51	42
ENSSSCG00000000496	0	0	0	0	0	0	0	0	0	0	4	0
ENSSSCG00000000499	3	6	2	0	0	0	8	13	0	10	7	22
ENSSSCG00000000500	17	20	54	12	51	8	4	28	1	6	6	4
ENSSSCG00000000502	113	14	171	97	227	41	74	97	42	14	113	29
ENSSSCG00000000504	145	50	229	75	96	89	68	51	53	43	563	119
ENSSSCG00000000509	1194	476	658	698	1252	353	250	733	244	200	1074	646
ENSSSCG00000000510	121	46	106	49	274	97	83	205	30	34	100	59
ENSSSCG00000000512	130	52	74	93	184	33	68	59	7	6	69	39
ENSSSCG00000000515	0	6	0	6	14	0	0	0	6	0	0	0
ENSSSCG00000000516	12	6	6	0	0	0	0	0	5	10	6	0
ENSSSCG00000000517	7	0	51	9	9	2	33	55	5	5	0	0
ENSSSCG00000000519	83	45	137	98	20	26	43	90	14	20	104	8
ENSSSCG00000000521	69	88	20	73	152	346	69	20	91	9	87	37
ENSSSCG00000000522	466	221	493	565	529	86	127	525	18	42	227	94
ENSSSCG00000000523	6	3	2	4	3	0	0	27	0	10	0	5
ENSSSCG00000000527	0	16	0	0	0	0	14	0	0	1	0	0
ENSSSCG00000000528	8	14	90	18	13	1	7	16	29	0	6	13
ENSSSCG00000000530	190	158	94	164	266	170	130	232	64	118	509	472
ENSSSCG00000000531	21	0	143	46	1	5	7	19	37	36	153	74
ENSSSCG00000000534	241	38	24	266	147	33	40	196	30	36	99	61
ENSSSCG00000000536	31	65	61	94	51	43	16	97	3	26	49	11
ENSSSCG00000000540	9	0	12	2	15	0	1	0	11	25	1	0
ENSSSCG00000000541	84	34	50	1	20	0	37	18	0	31	3	0
ENSSSCG00000000545	31	7	86	15	27	89	36	1	1	6	46	15
ENSSSCG00000000546	6	0	0	1	0	0	0	24	3	8	15	0
ENSSSCG00000000547	68	49	26	58	16	0	26	70	2	39	2	0
ENSSSCG00000000549	259	92	219	187	255	160	96	193	56	34	177	55
ENSSSCG00000000550	0	3	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000551	118	12	22	0	31	0	43	124	15	16	0	0
ENSSSCG00000000553	56	53	18	75	76	34	46	24	10	34	48	93
ENSSSCG00000000554	69	16	67	90	85	26	53	154	14	36	75	134
ENSSSCG00000000555	706	317	772	595	1136	366	255	446	140	198	822	752
ENSSSCG00000000559	77	10	35	93	117	34	25	78	8	5	108	55
ENSSSCG00000000563	143	48	7	18	177	39	103	75	7	25	89	59
ENSSSCG00000000567	41	5	66	53	44	52	24	65	7	20	63	50
ENSSSCG00000000570	215	97	184	105	217	0	43	171	30	46	61	147
ENSSSCG00000000571	7	18	5	0	0	0	10	0	0	4	8	0
ENSSSCG00000000573	1	0	0	0	0	0	0	0	9	20	29	0
ENSSSCG00000000576	99	113	73	74	116	43	19	171	14	18	102	135
ENSSSCG00000000577	4	0	0	0	0	0	6	0	0	5	0	7
ENSSSCG00000000579	7	12	0	10	11	7	21	15	8	4	30	3
ENSSSCG00000000580	53	5	3	79	86	8	55	55	27	32	89	38
ENSSSCG00000000582	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000583	61	27	48	39	42	13	23	13	2	8	28	22
ENSSSCG00000000584	23	0	0	216	204	224	27	8	0	15	0	0
ENSSSCG00000000585	0	3	10	0	0	0	9	8	0	16	1	0
ENSSSCG00000000587	100	102	88	39	177	63	37	107	40	12	149	102
