	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000264	169	277	71	258	127	189	75	218	276	195	416	244
ENSSSCG00000000265	26	88	81	50	20	65	41	58	131	174	206	266
ENSSSCG00000000267	12	13	5	8	6	11	7	10	4	6	6	18
ENSSSCG00000000268	43	39	37	58	17	17	24	75	73	95	82	96
ENSSSCG00000000271	5	19	23	16	3	39	16	18	3	11	3	7
ENSSSCG00000000272	380	427	320	526	227	361	365	297	603	565	526	531
ENSSSCG00000000273	1204	791	796	1150	847	812	731	631	9366	5189	8288	6294
ENSSSCG00000000274	2285	3258	2678	3042	1538	2526	2165	2283	2390	2634	2189	2990
ENSSSCG00000000275	16	21	43	24	6	20	17	29	1	8	6	13
ENSSSCG00000000276	32	91	45	70	32	96	46	72	57	54	90	66
ENSSSCG00000000277	2	8	4	10	4	1	3	0	14	3	11	14
ENSSSCG00000000278	288	465	437	593	198	466	458	437	779	462	732	566
ENSSSCG00000000279	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000281	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000288	3149	5158	4321	5602	2131	4073	3478	4687	4376	5274	4185	5550
ENSSSCG00000000289	1	3	0	4	2	0	1	0	2	12	1	9
ENSSSCG00000000290	524	896	518	986	429	683	527	727	947	1091	997	1047
ENSSSCG00000000291	1215	262	338	337	405	137	252	55	107	86	129	29
ENSSSCG00000000292	349	397	306	301	207	327	141	145	747	509	622	589
ENSSSCG00000000293	4059	1982	1496	3967	945	980	869	2149	4858	2335	1643	2775
ENSSSCG00000000295	3287	4600	2462	3815	1967	4031	2046	1959	3111	4751	3394	4114
ENSSSCG00000000296	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000297	262	438	240	388	219	341	184	298	354	223	155	238
ENSSSCG00000000298	0	0	12	1	0	0	3	0	0	0	0	0
ENSSSCG00000000299	0	1	3	2	3	0	12	0	0	3	0	5
ENSSSCG00000000312	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000318	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000327	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000332	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000333	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000352	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000353	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000359	138	186	147	125	124	214	125	124	192	171	180	142
ENSSSCG00000000361	8769	7671	4899	7150	6594	7567	4439	4498	4639	4247	4497	4529
ENSSSCG00000000362	0	2	0	0	1	0	0	0	1	0	0	4
ENSSSCG00000000363	37	29	62	45	16	15	16	48	1	3	0	2
ENSSSCG00000000364	38	37	31	35	11	22	34	29	33	36	23	23
ENSSSCG00000000365	346	345	278	526	227	268	188	298	523	443	525	405
ENSSSCG00000000366	872	1018	522	993	589	915	503	527	1008	937	926	696
ENSSSCG00000000367	302	257	158	239	159	239	101	231	139	109	99	93
ENSSSCG00000000368	939	392	152	1026	577	347	95	346	545	207	209	153
ENSSSCG00000000370	51	87	94	164	35	104	103	101	5	29	12	49
ENSSSCG00000000371	1	2	2	3	0	1	0	6	1	1	0	0
ENSSSCG00000000376	114	143	67	154	104	251	99	174	35	48	41	42
ENSSSCG00000000377	737	1208	961	1250	713	1155	843	1189	975	1264	1224	1539
ENSSSCG00000000379	602	737	637	929	437	558	486	763	914	878	923	1258
ENSSSCG00000000382	918	1133	908	1459	626	1179	682	1054	686	702	715	701
ENSSSCG00000000383	243	367	169	341	207	339	187	321	148	137	138	178
ENSSSCG00000000384	74	173	123	138	57	183	83	121	100	107	130	111
ENSSSCG00000000385	7	12	3	8	4	21	6	3	8	2	4	0
ENSSSCG00000000386	485	575	375	708	344	454	261	531	272	295	229	306
ENSSSCG00000000393	955	807	847	1097	592	731	832	653	909	912	981	863
ENSSSCG00000000394	100	196	132	251	141	182	155	232	224	309	169	269
ENSSSCG00000000396	804	1098	518	1005	441	909	455	493	728	769	942	679
ENSSSCG00000000398	1	2	0	2	0	4	0	0	1	1	2	6
ENSSSCG00000000399	28	34	37	47	19	50	25	42	31	82	45	98
ENSSSCG00000000400	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000000401	1	0	0	3	0	0	4	2	1	0	0	0
ENSSSCG00000000402	103	148	124	168	197	155	128	230	8	40	5	41
ENSSSCG00000000403	3192	3138	2574	2981	1644	2227	1929	1654	1687	1713	1335	1941
ENSSSCG00000000405	2085	3407	2141	4017	1438	2501	1987	3612	4483	6724	5397	6318
ENSSSCG00000000406	979	876	885	1056	770	737	785	873	2110	1376	1286	1223
ENSSSCG00000000411	24	117	119	119	24	87	112	126	106	69	81	72
ENSSSCG00000000413	0	0	0	0	1	2	0	3	1	0	0	0
ENSSSCG00000000415	0	0	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000000418	0	1	1	8	0	2	2	0	1	0	0	3
ENSSSCG00000000419	7	4	3	11	10	11	3	8	1	138	2	7
ENSSSCG00000000431	411	403	303	438	259	409	219	236	287	313	329	340
ENSSSCG00000000433	144	114	67	156	192	153	79	188	301	103	349	161
ENSSSCG00000000435	12	65	95	44	8	51	65	32	18	33	22	20
ENSSSCG00000000436	2	1	2	4	2	8	0	12	11	27	12	19
ENSSSCG00000000437	106	126	61	155	53	53	59	58	239	339	278	522
ENSSSCG00000000439	2	11	8	10	2	15	5	7	15	27	33	38
ENSSSCG00000000442	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000443	1	7	9	5	0	6	35	12	2	9	4	14
ENSSSCG00000000444	514	971	669	887	397	825	666	720	985	962	925	1053
ENSSSCG00000000449	330	665	602	519	397	690	659	373	1321	1113	1490	1306
ENSSSCG00000000453	13	35	10	25	7	31	12	25	98	89	111	95
ENSSSCG00000000455	18	78	64	145	16	50	49	132	160	202	224	290
ENSSSCG00000000456	1137	615	543	898	788	722	531	431	334	273	177	368
ENSSSCG00000000457	747	1146	874	1178	502	876	888	771	877	997	1077	976
ENSSSCG00000000458	843	954	759	969	502	860	752	704	598	505	438	491
ENSSSCG00000000462	25	52	23	81	12	42	36	60	32	35	31	47
ENSSSCG00000000464	0	6	2	5	0	1	0	6	0	0	0	0
ENSSSCG00000000466	48	98	70	106	45	95	70	79	52	61	86	90
ENSSSCG00000000469	292	361	349	443	191	264	262	368	166	208	153	203
ENSSSCG00000000473	386	486	321	585	307	499	338	473	492	431	622	282
ENSSSCG00000000475	1322	1351	1066	615	619	895	806	360	179	342	81	157
ENSSSCG00000000477	138	210	241	182	160	192	184	115	32	54	42	34
ENSSSCG00000000478	4	57	23	165	10	70	156	290	0	1	0	5
ENSSSCG00000000482	1	1	5	0	0	0	5	0	0	1	0	0
ENSSSCG00000000483	73	73	46	74	34	60	17	25	40	49	61	52
ENSSSCG00000000486	155	254	116	255	80	211	126	157	143	158	173	182
ENSSSCG00000000487	25	73	23	57	32	38	42	54	61	62	54	56
ENSSSCG00000000488	404	604	455	540	329	512	387	431	411	512	444	443
ENSSSCG00000000492	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000493	117	191	123	168	105	211	117	197	85	108	59	81
ENSSSCG00000000496	1	4	2	3	1	5	4	5	1	3	2	1
ENSSSCG00000000499	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000500	18	98	69	115	26	82	119	170	30	115	38	61
ENSSSCG00000000502	1370	1325	1057	1460	919	1315	789	928	539	657	566	601
ENSSSCG00000000504	28	134	127	333	29	141	250	693	17	87	9	76
ENSSSCG00000000509	2169	1585	1951	1626	1292	1195	1520	1028	1234	1057	1013	1260
ENSSSCG00000000510	1711	1141	1365	1527	1028	1191	1315	1213	1111	1150	1204	931
ENSSSCG00000000512	333	601	453	603	404	577	386	582	279	403	356	378
ENSSSCG00000000515	8	14	16	12	6	32	19	27	2	2	2	6
ENSSSCG00000000516	0	0	1	0	0	0	0	0	0	0	0	0
ENSSSCG00000000517	3	3	7	4	7	0	5	0	0	0	0	1
ENSSSCG00000000519	314	413	252	698	401	368	221	578	786	587	758	773
ENSSSCG00000000521	40	116	101	237	29	153	242	334	49	24	47	16
ENSSSCG00000000522	3283	4414	3389	3461	2322	4987	3064	2759	2928	2760	2849	2938
ENSSSCG00000000523	6	11	14	14	18	37	27	18	20	16	11	16
ENSSSCG00000000527	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000000528	16	69	27	167	17	66	43	195	5	18	24	11
ENSSSCG00000000530	940	1198	795	1168	587	568	660	616	1759	1530	1804	1511
ENSSSCG00000000531	0	11	16	11	0	3	8	6	1	14	1	14
ENSSSCG00000000534	210	338	220	322	169	202	173	241	244	294	315	332
ENSSSCG00000000536	299	463	247	532	231	463	271	459	353	457	435	312
ENSSSCG00000000540	0	0	0	1	0	0	0	1	0	2	0	0
ENSSSCG00000000541	3	8	14	28	0	3	5	24	1	25	2	37
ENSSSCG00000000545	16	35	40	55	12	29	31	51	4	32	24	19
ENSSSCG00000000546	0	1	0	1	0	0	8	6	0	0	5	0
ENSSSCG00000000547	32	81	57	94	28	81	52	82	118	137	133	118
ENSSSCG00000000549	96	264	329	541	145	240	332	873	18	92	16	105
ENSSSCG00000000550	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000551	80	84	164	314	103	51	107	313	1	4	0	1
ENSSSCG00000000553	169	263	165	218	178	411	196	201	347	446	336	315
ENSSSCG00000000554	256	256	236	334	174	294	163	232	411	369	212	251
ENSSSCG00000000555	619	845	629	788	395	770	522	852	494	806	521	723
ENSSSCG00000000559	220	269	215	575	115	190	191	292	310	238	256	209
ENSSSCG00000000563	452	450	254	587	211	300	157	185	89	217	190	161
ENSSSCG00000000567	2	18	16	33	5	22	16	31	0	4	0	8
ENSSSCG00000000570	187	470	332	518	166	291	246	350	405	484	676	485
ENSSSCG00000000571	0	16	2	3	0	42	1	33	1	1	0	1
ENSSSCG00000000573	11	13	26	40	4	42	18	125	1	2	0	7
ENSSSCG00000000576	1221	1797	1307	2025	837	1449	1159	1473	2290	3013	2396	2896
ENSSSCG00000000577	0	0	0	2	0	7	0	3	21	12	56	17
ENSSSCG00000000579	200	286	187	485	191	249	182	508	512	724	792	559
ENSSSCG00000000580	98	265	103	210	105	275	87	163	266	274	440	256
ENSSSCG00000000582	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000583	103	145	89	152	108	140	89	127	131	151	115	144
ENSSSCG00000000584	35	703	89	1155	76	755	750	1475	1	1	0	0
ENSSSCG00000000585	0	0	1	0	0	0	0	0	0	0	0	0
ENSSSCG00000000587	506	503	452	704	282	406	446	504	479	429	468	426
ENSSSCG00000000588	83	102	211	243	67	54	149	121	10	82	4	26
ENSSSCG00000000589	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000590	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000591	1	33	1	27	2	29	6	25	0	0	0	0
ENSSSCG00000000598	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000599	121	147	99	134	87	138	101	117	142	189	165	188
ENSSSCG00000000600	167	488	341	1228	102	227	283	870	1178	970	1605	1042
ENSSSCG00000000601	129	285	176	203	78	138	150	45	420	613	1007	394
ENSSSCG00000000602	5	28	31	33	7	23	36	30	2	3	1	5
ENSSSCG00000000605	0	3	4	2	0	0	0	0	9	1	12	0
ENSSSCG00000000607	2	23	50	9	8	12	8	10	0	6	1	10
ENSSSCG00000000610	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000611	961	1001	828	1072	583	883	707	833	738	867	722	704
ENSSSCG00000000612	515	636	363	941	253	481	341	461	491	425	608	431
ENSSSCG00000000614	0	0	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000000619	13	9	10	10	13	13	13	24	8	10	4	9
ENSSSCG00000000623	140	263	99	365	90	159	156	354	198	274	231	183
ENSSSCG00000000625	242	350	324	612	211	375	325	495	328	344	363	299
ENSSSCG00000000629	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000631	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000633	1758	1803	1596	2086	1133	1675	1257	1863	2420	2019	2160	2252
ENSSSCG00000000634	0	2	7	2	0	1	4	7	2	0	0	0
ENSSSCG00000000635	36	86	47	77	28	106	31	46	33	74	49	50
ENSSSCG00000000636	2	11	0	1	4	18	0	2	0	14	1	7
ENSSSCG00000000638	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000000639	1	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000000640	4	11	0	0	2	0	0	3	1	5	0	20
ENSSSCG00000000642	3	2	3	4	6	13	3	0	1	10	1	29
ENSSSCG00000000645	477	617	616	796	438	832	770	1022	744	539	504	629
ENSSSCG00000000647	1422	2672	3478	1637	726	2836	3078	910	2992	3351	3464	2719
ENSSSCG00000000648	147	238	278	519	204	277	265	243	1281	1426	1438	1647
ENSSSCG00000000649	10	49	31	55	13	42	33	137	24	34	18	52
ENSSSCG00000000650	0	0	0	0	0	0	0	0	84	6	72	12
ENSSSCG00000000651	2	7	6	1	4	6	5	9	172	137	272	121
ENSSSCG00000000653	27	60	73	52	22	69	119	39	14	230	11	208
ENSSSCG00000000656	324	206	330	209	244	318	363	133	1374	1877	2161	1287
ENSSSCG00000000657	2659	1713	1762	1396	797	1235	1072	574	1089	1371	1493	956
ENSSSCG00000000659	66	752	366	1443	351	713	1059	1774	5	1	0	5
ENSSSCG00000000660	239	528	853	1066	118	440	203	1256	5989	1621	917	4482
ENSSSCG00000000661	135	134	162	117	79	132	98	106	107	79	121	56
ENSSSCG00000000663	0	1	1	3	0	1	2	7	0	4	0	11
ENSSSCG00000000664	0	1	8	12	0	3	0	25	1	0	0	0
ENSSSCG00000000665	15	55	102	103	23	30	75	143	5	16	4	27
ENSSSCG00000000667	0	0	0	0	0	0	0	0	1	3	0	0
ENSSSCG00000000668	64	223	156	386	128	118	217	343	0	1	0	0
ENSSSCG00000000669	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000672	4	14	20	34	2	26	21	71	75	30	14	44
ENSSSCG00000000679	1	1	0	0	0	0	0	0	18	0	8	1
ENSSSCG00000000680	14	29	35	9	53	18	48	19	0	1	1	3
ENSSSCG00000000681	6	19	79	24	10	22	46	45	1	20	3	17
ENSSSCG00000000682	1	1	1	0	0	6	5	6	0	0	0	2
ENSSSCG00000000683	12	18	23	22	4	4	8	11	24	46	45	88
ENSSSCG00000000684	149	265	209	280	127	298	193	294	547	577	742	682
ENSSSCG00000000685	2617	1456	1418	1663	1137	1098	1249	1158	3252	2464	2472	2766
ENSSSCG00000000687	533	922	682	320	2787	3409	1769	1398	83	166	72	263
ENSSSCG00000000688	14	36	25	28	14	13	40	12	4	33	6	51
ENSSSCG00000000690	994	1164	886	1079	727	973	772	795	1096	1085	1089	1154
ENSSSCG00000000691	112	196	86	166	107	161	74	166	289	336	398	237
ENSSSCG00000000692	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000693	115	197	295	309	73	149	212	174	148	252	211	436
ENSSSCG00000000694	16144	9603	7808	10889	6412	6226	5784	5802	16515	14060	14839	17368
ENSSSCG00000000695	287	516	245	335	221	536	252	247	354	277	394	276
ENSSSCG00000000696	88	277	224	432	129	291	221	413	220	222	319	460
ENSSSCG00000000697	2870	3191	2468	3591	1410	2568	1890	2378	1891	2034	2008	2913
ENSSSCG00000000699	36	52	39	93	28	19	39	39	0	9	1	8
ENSSSCG00000000700	48	42	53	41	35	79	56	33	23	36	22	13
