baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000249	0	NA	NA	NA	NA	NA
ENSSSCG00000000250	0	NA	NA	NA	NA	NA
ENSSSCG00000000251	0	NA	NA	NA	NA	NA
ENSSSCG00000000252	1230.10335072133	-6.67302682927545	0.642662979740939	-10.3834000706955	2.9507511318086e-25	4.9970116894124e-23
ENSSSCG00000000253	385.373890059755	-6.59507764049871	0.729003284423306	-9.04670497570651	1.47347465847949e-19	1.31273779247406e-17
ENSSSCG00000000257	248.262118686135	-0.373478984094729	0.701975985140572	-0.532039545512286	0.594698606589715	0.845954123403669
ENSSSCG00000000258	88.5340550041555	-0.821631169483522	0.354683427003311	-2.31651976644472	0.0205299064609731	0.0650499943237666
ENSSSCG00000000259	62.4159801997639	1.07158616244544	0.406330850433117	2.63722570241274	0.00835871956729001	0.03052548969049
ENSSSCG00000000260	0.337453097529521	-2.24298169214679	3.76791754068701	-0.595284176982764	0.551653530874018	0.805583143016372
ENSSSCG00000000261	36.367076253198	-0.948154092482561	0.720114445281159	-1.31667139674218	0.187948795335813	0.384357162198218
ENSSSCG00000000262	387.623975597961	0.274498111323559	0.285144621057503	0.962662771984057	0.335716784930605	0.588365774889927
ENSSSCG00000000263	137.381896890265	-2.45758299368688	0.729603659359777	-3.36838084919064	0.000756110708332694	0.00389775691085989
ENSSSCG00000000264	202.892890563681	0.815207645875896	0.395352803336819	2.06197512448491	0.0392101043310082	0.111097102854907
ENSSSCG00000000265	96.4065297197864	2.01100084765889	0.359011781270822	5.6014898467688	2.1251723807981e-08	3.22092509282056e-07
ENSSSCG00000000267	8.65096172660683	-0.121828505285599	0.600956508024095	-0.202724329729222	0.839350505639356	0.986332372670804
ENSSSCG00000000268	53.1553378369135	1.29209438933325	0.427117288466385	3.02515122713171	0.00248508836961675	0.0109110661628063
ENSSSCG00000000271	12.6715172584581	-1.66664735972275	0.679833833126819	-2.45155106808555	0.0142242000987052	0.0479624953468105
ENSSSCG00000000272	419.896443744703	0.71069866488734	0.197636652785545	3.59598614361535	0.000323165001643503	0.00184919688597515
ENSSSCG00000000273	2989.00215240842	3.10366075064211	0.351372408900856	8.83296659618441	1.0193547134218e-18	8.25596736471385e-17
ENSSSCG00000000274	2445.46676949029	0.142129540287973	0.133847311415469	1.06187818630735	0.288290989130504	0.527369248921656
ENSSSCG00000000275	16.5109390392572	-1.44494995316855	0.620487202013446	-2.32873449843892	0.0198731353246715	0.0633806094844893
ENSSSCG00000000276	59.7622295966319	0.0674950357878989	0.295895175486172	0.228104549785244	0.819564963113517	0.979206848939148
ENSSSCG00000000277	5.97531011250961	2.16069121561428	0.877502410518991	2.46231940757445	0.0138041671410387	0.0467771107800602
ENSSSCG00000000278	477.815502790003	0.630948917289413	0.25996815245073	2.42702389250927	0.0152232532711106	0.0507218996387525
ENSSSCG00000000279	0	NA	NA	NA	NA	NA
ENSSSCG00000000281	0	NA	NA	NA	NA	NA
ENSSSCG00000000288	4194.09461792327	0.337226158247355	0.144715446075684	2.33027066143991	0.0197918503670654	0.0631508573453032
ENSSSCG00000000289	2.7660608785798	2.67503965583876	1.35143173407064	1.97941160356009	0.0477696831288668	0.130062261094022
ENSSSCG00000000290	756.4403218783	0.680272424095855	0.126129217917552	5.39345629289906	6.91151434096316e-08	9.30511434695638e-07
ENSSSCG00000000291	311.241268043441	-1.58697464040772	0.76521034251171	-2.07390641793819	0.0380880028890193	0.108608581575131
ENSSSCG00000000292	381.993229431471	1.47578049798274	0.315295387731482	4.68062824705694	2.85997135297185e-06	2.72448502992776e-05
ENSSSCG00000000293	2316.81449825424	1.14153798293145	0.46887754505678	2.43461857998171	0.014907494427654	0.0499169644053497
